f_id,current_name,correct_name,introduced_release
2003.1.2.242,"FAD_binding_2, FAD_oxidored, PF26311","FAD_binding_2, FAD_oxidored, ETF-QO_FixC_C",v293.1
2003.1.3.50,"NAD_binding_9, PF30338","NAD_binding_9, YdhS_M",v293.1
2003.1.5.198,"PCMT, Methyltransf_31, PF31200","PCMT, Methyltransf_31, AS3MT_C",v293.1
2003.1.5.436,"Methyltransf_25, PF27593","Methyltransf_25, NvfJ_N",v293.1
2003.2.1.8,"Molybdopterin, PF28599","Molybdopterin, NarG_dom_V",v293.1
2004.1.1.1006,"PF29246, PF29248","Tp0900_N, TP0900_4th",v293.1
2004.1.1.445,"ABC_tran, PF27471","ABC_tran, EcfA1_C",v293.1
2004.1.1.489,"ResIII, PF27431","ResIII, UvrB_3rd",v293.1
2004.1.1.492,"UvrD_C, ADDB_N, PF27467","UvrD_C, ADDB_N, AddB_5th",v293.1
2004.1.1.494,"ADDB_N, PF27467","ADDB_N, AddB_5th",v293.1
2004.1.1.549,"Exonuc_V_gamma, PF27451","Exonuc_V_gamma, RecC_4th",v293.1
2004.1.1.654,"UvrD_C, PF27467","UvrD_C, AddB_5th",v293.1
2004.1.1.778,"AAA_18, PF28345","AAA_18, LPA1_N",v293.1
2004.1.1.957,"AAA_lid_3, PF31015","AAA_lid_3, ATAD2_C",v293.1
2004.5.1.17,"GAP1-M, PF30047","GAP1-M, TPR_SaeB",v293.1
2005.1.1.54,"Diphthami_syn_2, PF28410","Diphthami_syn_2, Diphthami_syn_2_C",v293.1
2005.1.1.80,"PF26298, PF26299","MurL_epimerase_C, MurL_N",v293.1
2006.1.4.42,"PIN_3, PF26343","PIN_3, VapC50_C",v293.1
2007.1.9.6,"AIRC, PF30415","AIRC, LarB_N",v293.1
2008.1.1.180,"PF27366, PF30697","MwoI_N, MwoI_central",v293.1
2011.4.1.3,"PF27118, PF30220","PA0049_N, PA0049_C",v293.1
207.1.1.161,"LRR_6, PF29265","LRR_6, LRR_CARMIL",v293.1
207.1.1.205,"LRR_6, PF27087","LRR_6, LRR_TMOD-LMOD",v293.1
207.1.1.224,"PF29466, PF29477","F-box_COS111, COS111_C",v293.1
207.1.1.273,"LRR_1, LRR_8, LRR_14, PF30666","LRR_1, LRR_8, LRR_14, LRC39_N",v293.1
207.1.1.274,"LRR_6, PF29255","LRR_6, LRR_NLRC3",v293.1
207.1.1.307,"LRR_6, DUF7885, PF29594","LRR_6, DUF7885, LRR_SKP2",v293.1
207.1.1.311,"LRR_6, PF27087, PF29255","LRR_6, LRR_TMOD-LMOD, LRR_NLRC3",v293.1
207.1.1.422,"PF30064, PF30065","CTF13_N, CTF13_C",v293.1
207.1.1.433,"LRR_8, PF28335","LRR_8, LRRC43_C",v293.1
207.1.1.458,"LRR_6, DUF7885, PF29120","LRR_6, DUF7885, AMN1_helical",v293.1
207.1.1.464,"LRR_1, LRR_6, PF29247","LRR_1, LRR_6, LRR_MHP1-HER1-GIP3",v293.1
207.12.1.4,"PF26360, PF26364","MIB_M1, MIB_M2",v293.1
207.12.1.5,"PF26360, PF26361, PF26364","MIB_M1, MIB_arm, MIB_M2",v293.1
207.2.1.110,"PF27415, PF27417","BigA_4th, BigA_3rd",v293.1
208.1.1.26,"Hexapep_2, PF28366","Hexapep_2, GAMMACA1_C",v293.1
208.1.1.51,"Hexapep, PF28366","Hexapep, GAMMACA1_C",v293.1
208.1.1.52,"Hexapep, Hexapep_2, PF28366","Hexapep, Hexapep_2, GAMMACA1_C",v293.1
2.1.1.317,"DUF272, PF26704","DUF272, DUF272_C",v293.1
213.1.1.107,"FR47, PF28379","FR47, VerG_N",v293.1
220.1.1.222,"Swc3, PF26242","Swc3, Swc3_C",v293.1
220.1.1.310,"PF29397, PF29398","CERLI2_mid, CERLI2_mid_2nd",v293.1
221.4.1.23,"NUDIX, PF25969","NUDIX, NUDT9_N",v293.1
221.4.1.35,"NUDIX, PF30669","NUDIX, NUDT19_Nudix",v293.1
223.1.1.102,"VWA_N, PF30670","VWA_N, CACHD1_middle",v293.1
223.1.1.103,"CHASE7, PF30448","CHASE7, DgcQ_link",v293.1
223.1.1.108,"VGCC_alpha2, PF30670","VGCC_alpha2, CACHD1_middle",v293.1
223.1.1.120,"dCache_1, VWA_N, PF30670","dCache_1, VWA_N, CACHD1_middle",v293.1
223.1.1.146,"VWA_N, VGCC_alpha2, PF30670","VWA_N, VGCC_alpha2, CACHD1_middle",v293.1
223.3.1.14,"Transpeptidase, PF29195","Transpeptidase, PBP_1A_C",v293.1
223.3.1.15,"Transpeptidase, PF30382, PF30384","Transpeptidase, PBP1c_linker, PBP1c_linker_2",v293.1
223.3.1.19,"PF30382, PF30384","PBP1c_linker, PBP1c_linker_2",v293.1
226.1.1.20,"PF30468, PF30469","CIP7_M, CIP7_N",v293.1
235.1.1.32,"SLT, PF27553","SLT, SLT_superhelical",v293.1
243.1.1.88,"PF28386, PF28387","BfoA_C, BfoA_N",v293.1
244.4.1.3,"NiFeSe_Hases, PF27537","NiFeSe_Hases, HoxH",v293.1
2484.1.1.195,"PF26024, PF26025, PF26100, PF26101, PF26105","RAG1_DNA-bd, RAG1_pre-RNase_H, RAG1_RNase_H, RAG1_ZnC2, RAG1_C",v293.1
2484.1.1.204,"PF27046, PF27073","FAM200-GTF2IRD2-like, FAM200-ZBED5_RNase-like",v293.1
2484.1.1.239,"Dimer_Tnp_hAT, PF27046, PF27073","Dimer_Tnp_hAT, FAM200-GTF2IRD2-like, FAM200-ZBED5_RNase-like",v293.1
2484.1.1.282,"Dimer_Tnp_hAT, PF27041","Dimer_Tnp_hAT, ZBED1_RNase-like",v293.1
2484.1.1.297,"rve, rve_3, PF29688","rve, rve_3, TnsB_C",v293.1
2484.1.1.319,"Dimer_Tnp_hAT, PF26742","Dimer_Tnp_hAT, DUF8247",v293.1
2485.1.1.133,"PF26968, PF26976","Thioredoxin-like_DJC16_3rd, DJC16_C",v293.1
2485.1.1.139,"PF26968, PF26973, PF26976","Thioredoxin-like_DJC16_3rd, Thioredoxin-like_DJC16_2nd, DJC16_C",v293.1
2485.1.1.155,"Thioredoxin, PF26968, PF26973","Thioredoxin, Thioredoxin-like_DJC16_3rd, Thioredoxin-like_DJC16_2nd",v293.1
2488.1.1.27,"PF27379, PF27381, PF27710","TRM10_Arch_N, TRM10_Arch_C, TRM10_TRM10A",v293.1
2488.1.1.30,"PF27379, PF27710","TRM10_Arch_N, TRM10_TRM10A",v293.1
2490.3.1.3,"Ribosomal_L27A, PF29471","Ribosomal_L27A, Ribosomal_uL15_N",v293.1
2490.3.1.6,"PF27056, PF29471","Ribosomal_L15_epsilon, Ribosomal_uL15_N",v293.1
2498.1.1.110,"Peptidase_M3, PF29194","Peptidase_M3, Peptidase_M3_N_2",v293.1
304.163.1.5,"R1_ABCA1, PF26955","R1_ABCA1, ACT_13",v293.1
304.60.1.10,"Ribosomal_L10, PF28227","Ribosomal_L10, MRPL11_C",v293.1
304.60.1.8,"Ribosomal_L10, PF27436","Ribosomal_L10, RL10_C",v293.1
304.8.1.65,"ACT, PF27446","ACT, GlnD_5th",v293.1
304.9.1.100,"PF28440, PF28442","DUF8399, DUF8400",v293.1
304.9.1.133,"RRM_1, PF28224","RRM_1, NOP6_C",v293.1
304.9.1.149,"RRM_1, PF29326","RRM_1, RRM_MUD2_C",v293.1
304.9.1.151,"RRM_1, PF28441","RRM_1, RRM_11",v293.1
304.9.1.93,"RRM_1, PF27577","RRM_1, ESF2_C",v293.1
310.3.1.22,"PF27480, PF30181","ComC_C, ComC_N",v293.1
3235.1.1.26,"WH2, PF27569","WH2, SCAR_helical",v293.1
3246.1.1.9,"PF29023, PF29024","F15G9_N, F15G9_middle",v293.1
325.1.7.35,"Biotin_lipoyl, PF25917","Biotin_lipoyl, BSH_RND",v293.1
325.1.7.55,"Biotin_lipoyl, PF25984","Biotin_lipoyl, BSH_YknX",v293.1
327.11.2.68,"KH_Mug60-KHD4, PF29984, PF29998","KH_Mug60-KHD4, KH_YLL032C_5th-like, KH_KHD4_2nd",v293.1
3305.1.1.7,"Abi_HHR, PF27594","Abi_HHR, ABI",v293.1
3567.1.1.99,"DC_STAMP, PF26039","DC_STAMP, Dcst2",v293.1
3588.1.1.2,"RdRP, PF26253","RdRP, RdRP_head",v293.1
375.1.1.232,"tRNA-synt_1g, PF27618","tRNA-synt_1g, Zn_ribbon_GTF2H2",v293.1
375.1.1.288,"DUF2310, PF29880","DUF2310, DUF8594",v293.1
3755.3.1.509,"PF30875, PF30876","CCDC178_CC1, CCDC178_CC2",v293.1
3755.3.1.553,"PF27681, PF27695","CEP131_CC, CEP131_C",v293.1
3755.3.1.585,"PF30149, PF30150","YGR130C_C, YGR130C_N",v293.1
3755.3.1.591,"PF27598, PF27603","AKAP9_coil_N, AKAP9_C",v293.1
376.1.1.151,"zf-C3HC4_2, PF30896","zf-C3HC4_2, RBBP6_link",v293.1
376.1.1.155,"zf-RING_Vps41, PF31263","zf-RING_Vps41, RING_Ste5",v293.1
376.1.6.10,"IBR, PF26200","IBR, Rcat_RNF216",v293.1
386.1.1.302,"PF29314, PF29318","zf_C2H2_LIN26-LIR3, zf_C2H2_LIN26-LIR3_2nd",v293.1
386.1.1.321,"zf-C2H2, PF30355","zf-C2H2, zf_C2H2-Disco",v293.1
386.1.1.401,"PF27082, PF27088","Znf_C2H2_Trps1_4th, zf-C2H2_Trps1_5th",v293.1
3883.1.1.11,"CDP-OH_P_transf, PF29417","CDP-OH_P_transf, CPE_synthase",v293.1
389.1.1.104,"EGF_PEAR1L, PF26673","EGF_PEAR1L, EGF_C_tripleX",v293.1
389.1.3.24,"TNFR_c6, PF27736","TNFR_c6, TNR19_TNFR_Cys_second",v293.1
391.1.2.26,"VWC, PF31028","VWC, NELL_VWC_C",v293.1
4.11.1.5,"Peptidase_S24, PF31032","Peptidase_S24, SPase_CTS",v293.1
4.1.1.354,"CAP_GLY, PF28930","CAP_GLY, SH3_CYLD",v293.1
4.1.1.391,"FDF, PF30873","FDF, EDC3_N",v293.1
4.1.1.473,"PF30085, PF30086","Elba3_N, Elba3_M",v293.1
4120.1.1.80,"PF28523, PF30984","CCDC162_mid, CCDC162_N",v293.1
5001.1.1.148,"Frizzled, PF29575","Frizzled, Fz_Smo_sans_CRD_N",v293.1
5001.1.1.265,"7tm_2, PF29575","7tm_2, Fz_Smo_sans_CRD_N",v293.1
5046.1.1.147,"PF30816, PF30819","CEP152_CC1, CEP152_CC2",v293.1
5046.1.1.196,"PF30981, PF30982","CCDC162_C, CCDC162_middle",v293.1
5057.1.1.32,"PF27671, PF27673","YPL277C_N, YPL277C_C",v293.1
5069.1.1.65,"CopD, PF28674","CopD, Cu_res_D_N",v293.1
5084.5.1.44,"TamB, PF27051","TamB, TamB_N",v293.1
5084.5.3.10,"TamB, PF27051","TamB, TamB_N",v293.1
5084.5.4.14,"TamB, PF27051","TamB, TamB_N",v293.1
5085.1.1.2,"PF27489, PF29296","TP096X_N, TP096X_C",v293.1
5086.1.1.201,"PF27639, PF28607","VMP1_C, KMS1_N",v293.1
5.1.4.267,"WD40, PF28639","WD40, DNAI3_WD",v293.1
5.1.4.271,"WD40, PF30361","WD40, TRM82_WD",v293.1
5.1.4.309,"WD40, PF29630","WD40, ASA1",v293.1
5.1.4.325,"WD40, PF30552","WD40, CFAP251_N",v293.1
5.1.4.406,"BNR_6, Sortilin-Vps10, PF25852","BNR_6, Sortilin-Vps10, DUF6242_C",v293.1
5.1.4.585,"PF29539, PF29566","DCT6_middle, DCT6_C",v293.1
5.1.4.619,"PF27600, PF27601","DCAF1_helical, DCAF1_4th",v293.1
558.1.1.23,"LisH, PF30097","LisH, LisH_SSDP",v293.1
601.1.1.142,"Peptidase_S64, PF30502","Peptidase_S64, SSY5_N",v293.1
601.1.2.101,"DC_STAMP, PF26039","DC_STAMP, Dcst2",v293.1
601.1.2.128,"PF27075, PF27076","Rv1486c_N, Rv1486c_C",v293.1
601.13.1.10,"DUF5691, PF31082","DUF5691, SWIM_C",v293.1
601.19.1.54,"ApoB100_C, PF30406","ApoB100_C, ApoB100_arm_9ins",v293.1
603.1.1.139,"V-SNARE_C, PF27021","V-SNARE_C, BOS1_GOSR2_MEM11-like_N",v293.1
603.1.1.223,"PF27584, PF27585","HIR3_helical, HIR3_2nd",v293.1
603.1.1.225,"SNARE, PF26585","SNARE, STX17_N",v293.1
604.3.1.34,"BAG, PF27519","BAG, BAG_BAG5",v293.1
633.12.1.19,"PF26751, PF26752","All-alpha_MIP2, MIP2_C",v293.1
67.1.1.3,"DnaJ_C, PF27439","DnaJ_C, DnaJ_C_2",v293.1
708.1.1.29,"PF29862, PF29863","ZTF17_M, zf-ZTF-17_C2H2_2",v293.1
708.1.1.30,"PF30069, PF30070","YKR011C_N, YKR011C_M",v293.1
7512.1.1.137,"Glycos_transf_1, Glyco_transf_5, PF26775","Glycos_transf_1, Glyco_transf_5, HTH_Mok13",v293.1
7512.1.1.89,"UDPGT, PF26168","UDPGT, Glyco_transf_N",v293.1
7512.1.1.96,"PF30759, PF30760","GtfB_3rd, GtfB_N",v293.1
7516.1.1.106,"Glycos_transf_2, PF30648","Glycos_transf_2, GtrB_C",v293.1
7516.1.1.168,"PF29935, PF29936","StrH_N, StrH_C",v293.1
7519.1.1.11,"Rick_17kDa_Anti, PF29034","Rick_17kDa_Anti, SDH6",v293.1
7523.1.1.55,"Lipoprotein_10, PF27319","Lipoprotein_10, MG185_MG260",v293.1
7523.1.1.76,"Lipoprotein_10, Lipoprotein_X, PF27319","Lipoprotein_10, Lipoprotein_X, MG185_MG260",v293.1
7529.1.1.15,"AKAP_110, PF30680","AKAP_110, SPHKAP_N",v293.1
7542.1.1.8,"Aconitase, PF27434","Aconitase, LeuD_C",v293.1
7575.1.1.12,"Peptidase_C14, PF31181","Peptidase_C14, Pept_C14_Metacaspase",v293.1
804.1.1.3,"PDCD2_C, PF30657","PDCD2_C, PDCD2_N",v293.1
904.1.1.38,"zf-B_box, PF27984","zf-B_box, CRLF3_N",v293.1
