fid,pfam_acc,n_cand,n_pdb,n_concordant,pick_uid,pick_domain,pick_source,pick_seqlen,pick_concordant,pick_hmm_cov,pick_pfams,runner_source,runner_uid,group_flag
109.4.1.1324,"PF08336,PF23558",27,0,27,4119053,Q5ZLK5_nD2,afdb,150,True,1.0,"PF08336,PF23558",afdb,3548339,
220.1.1.182,PF24577,8,0,8,3462924,Q8LHH9_F1_nD2,afdb,170,True,1.0,PF24577,afdb,3814810,
223.1.1.191,PF23956,2,0,2,4963275,D4GTP1_F1_nD1,afdb,0,True,0.791,PF23956,afdb,4961186,
109.4.1.557,PF19440,14,0,14,3909982,F1R1C9_F1_nD1,afdb,275,True,0.653,PF19440,afdb,3569988,
207.1.1.217,"PF12799,PF13516,PF13855,PF14580",7,0,7,3257548,Q54Q39_F1_nD1,afdb,335,True,1.0,"PF13855,PF14580",afdb,3347095,
2006.1.3.24,PF11296,3,0,3,3277861,K0EUI6_F1_nD2,afdb,180,True,1.0,PF11296,afdb,3953178,
5058.1.1.45,PF01490,2,0,2,3654014,A0A1D6QLE0_F1_nD1,afdb,110,True,0.249,PF01490,afdb,3451588,
101.1.1.548,PF13565,2,0,2,5008720,O34822_F1_nD2,afdb,0,True,0.767,PF13565,afdb,5017707,
4.1.1.366,PF26738,3,0,3,3436922,Q6K687_F1_nD3,afdb,60,True,1.0,PF26738,afdb,3354389,
611.7.1.14,PF25055,25,0,25,3814640,Q9SW41_F1_nD1,afdb,130,True,0.992,PF25055,afdb,3340407,
109.4.1.2084,PF23136,3,0,3,3605318,Q4GYS6_F1_nD5,afdb,195,True,0.74,PF23136,afdb,3713874,
601.1.2.91,PF25368,3,0,3,3312661,I1KM32_F1_nD1,afdb,165,True,1.0,PF25368,afdb,3325266,
601.1.2.79,PF23408,7,0,7,3992063,A0A0N4UJ92_F1_nD1,afdb,210,True,0.819,PF23408,afdb,3928167,
181.1.1.14,PF06437,2,0,2,3741532,O14349_F1_nD1,afdb,110,True,0.28,PF06437,afdb,3741533,
77.1.1.7,PF07356,3,0,3,3943894,A0A0H3GHB8_F1_nD1,afdb,125,True,0.651,PF07356,afdb,3975916,
130.1.1.34,PF15008,2,0,2,3751090,Q66H33_F1_nD3,afdb,150,True,0.944,PF15008,afdb,3858795,
605.3.1.2,PF30119,2,0,2,4103851,Q9W4M8_nD2,afdb,80,True,0.546,PF30119,afdb,3394367,
2485.1.1.118,PF26959,3,0,3,3660274,A0A1D6GP57_F1_nD1,afdb,125,True,0.984,PF26959,afdb,3354172,
192.2.1.88,PF05833,2,0,2,5045441,A0A5C9E705_F1_nD3,afdb,0,True,0.287,PF05833,afdb,4964968,
109.4.1.2144,"PF27737,PF30504",2,0,2,3768533,A0A0G2JZ84_F1_nD3,afdb,470,True,0.457,"PF27737,PF30504",afdb,4249710,
2007.15.1.19,PF24963,2,0,2,5008697,O30317_F1_nD1,afdb,0,True,0.908,PF24963,uniparc,5058388,
101.1.1.345,PF23081,3,0,3,3533601,Q2KJY2_F1_nD1,afdb,85,True,0.976,PF23081,afdb,3843006,
109.4.1.1621,PF27751,7,0,7,3209265,C0NYJ8_F1_nD2,afdb,420,True,0.951,PF27751,afdb,4263262,
220.1.1.198,PF25400,6,0,6,3910930,F1QZ06_F1_nD1,afdb,160,True,1.0,PF25400,afdb,3752134,
601.4.1.54,PF28326,4,0,4,3287581,K0F8B9_F1_nD1,afdb,145,True,1.0,PF28326,afdb,3954297,
101.1.1.281,PF25981,11,0,11,3523688,Q96RK0_F1_nD2,afdb,60,True,1.0,PF25981,afdb,3772580,
380.1.1.13,PF25866,7,0,7,3510968,A0A077ZG92_F1_nD3,afdb,124,True,0.976,PF25866,afdb,3511049,
592.6.1.3,PF24557,3,0,3,3826219,Q9FNQ1_F1_nD1,afdb,105,True,1.0,PF24557,afdb,3335753,
10.1.1.68,PF19699,3,0,3,3855409,Q9EPL2_F1_nD5,afdb,165,True,0.466,PF19699,afdb,3875637,
4.1.1.370,PF28261,3,0,3,4607576,Q9PJN7_nD1,afdb,70,True,0.243,PF28261,afdb,4251808,
101.1.2.499,PF24901,29,0,29,4018994,A0A175W4Q3_F1_nD6,afdb,80,True,1.0,PF24901,afdb,3197955,
109.4.1.1760,"PF09324,PF20252,PF23325",5,0,5,3825227,Q9LPC5_F1_nD3,afdb,610,True,0.994,"PF09324,PF20252,PF23325",afdb,3377404,
2484.1.1.223,PF27036,8,0,8,3187356,U7Q6A0_F1_nD1,afdb,190,True,1.0,PF27036,afdb,3203110,
601.4.1.57,PF07114,3,0,3,3769864,Q5HZA9_F1_nD1,afdb,165,True,0.912,PF07114,afdb,3774838,
101.1.1.545,PF08004,11,0,11,5021578,Q8PZQ7_F1_nD2,afdb,0,True,1.0,PF08004,afdb,5021148,
10.12.1.107,PF27522,36,0,36,3181161,U7Q0I3_F1_nD1,afdb,270,True,1.0,PF27522,afdb,3185200,
109.4.1.2386,"PF00515,PF12569,PF31234",2,0,2,3823686,Q8VZM1_F1_nD1,afdb,845,True,0.998,"PF12569,PF31234",afdb,3715803,
101.1.1.377,PF29033,2,0,2,3172751,P38201_F1_nD1,afdb,100,True,0.98,PF29033,afdb,3785194,
304.151.1.5,PF23575,3,0,3,3895696,Q90Y57_F1_nD20,afdb,110,True,1.0,PF23575,afdb,3886540,
101.1.2.526,PF27602,10,0,10,3882275,E7EZB6_F1_nD5,afdb,80,True,0.986,PF27602,afdb,3759957,
11.1.1.993,PF30426,5,0,5,3972565,Q9HVT2_F1_nD5,afdb,120,True,1.0,PF30426,afdb,4004770,
2003.1.3.36,PF03275,4,0,4,3948424,A0A0H3GQN1_F1_nD1,afdb,315,True,1.0,PF03275,afdb,4954353,
109.4.1.2062,PF23275,3,0,3,3280675,K0F232_F1_nD2,afdb,495,True,1.0,PF23275,afdb,3959276,
109.4.1.1749,PF23702,6,0,6,3876110,Q6PDI5_F1_nD2,afdb,215,True,1.0,PF23702,afdb,3407714,
4.1.1.146,PF22682,5,0,5,3202614,C0NIX3_F1_nD1,afdb,345,True,0.942,PF22682,afdb,3188774,
605.4.1.5,"PF16711,PF16712",7,0,7,3317382,K7MY36_F1_nD1,afdb,190,True,0.833,"PF16711,PF16712",afdb,3803676,
5.1.4.383,PF23266,5,0,5,3300925,I1JMK4_F1_nD1,afdb,320,True,0.997,PF23266,afdb,4023075,
304.8.1.96,PF26798,18,0,18,4962812,D4GSJ5_F1_nD2,afdb,0,True,1.0,PF26798,afdb,4966013,
207.2.1.87,PF00818,2,0,2,4130586,P20469_nD6,afdb,390,True,1.0,PF00818,afdb,4084376,
327.11.2.40,PF31052,5,0,5,4017873,A0A175VXI2_F1_nD1,afdb,73,True,0.905,PF31052,afdb,3723914,
2484.1.1.330,PF04312,33,0,33,4957303,D1YUT7_F1_nD1,afdb,0,True,0.978,PF04312,afdb,5008587,
243.1.1.80,PF26580,17,0,17,3284679,K0EZM2_F1_nD1,afdb,115,True,0.983,PF26580,afdb,3286836,
2007.1.3.45,PF29746,9,0,9,4669915,A5UJB8_nD3,afdb,95,True,1.0,PF29746,afdb,4952327,
11.1.1.1138,PF29285,2,0,2,4004517,P76585_F1_nD2,afdb,85,True,0.952,PF29285,afdb,3984566,
109.4.1.2045,"PF00515,PF13174",3,0,3,3811756,F4I3Z5_F1_nD1,afdb,190,True,0.912,"PF00515,PF13174",afdb,3857827,
3760.1.1.3,PF12756,6,0,6,3526049,Q9NRM2_F1_nD3,afdb,110,True,0.97,PF12756,afdb,3905830,
220.1.1.188,PF25351,7,0,7,4019958,A0A175WCE0_F1_nD4,afdb,190,True,0.989,PF25351,afdb,3186457,
11.1.1.955,PF24946,5,0,5,3580943,A0A3P7FG22_F1_nD4,afdb,100,True,1.0,PF24946,afdb,3217257,
11.1.1.1040,PF28849,4,0,4,3257331,Q554K2_F1_nD2,afdb,125,True,0.992,PF28849,afdb,3261340,
284.1.1.31,PF08704,2,0,2,4944254,A0A9Y1BKW7_F1_nD1,afdb,0,True,0.267,PF08704,afdb,4947355,
5063.1.1.12,PF09769,2,0,2,3774563,Q5U1W6_F1_nD1,afdb,110,True,0.748,PF09769,afdb,4275437,
207.1.1.133,"PF00560,PF23598",129,0,129,3444219,Q7XTP6_F1_nD1,afdb,415,True,0.669,"PF00560,PF23598",afdb,3360273,
221.1.1.242,PF01799,2,0,2,4944192,A0A9Y1BKT1_F1_nD1,afdb,0,True,0.92,PF01799,afdb,4944085,
223.8.1.5,PF23959,2,0,2,5001818,L0KTC5_F1_nD1,afdb,0,True,0.793,PF23959,afdb,5002837,
5.1.5.93,PF25293,10,0,10,3902784,A0A2R8QSB2_F1_nD1,afdb,400,True,0.997,PF25293,afdb,3917456,
109.4.1.2310,"PF01535,PF12854,PF13812,PF20431",2,0,2,3361507,I1JH99_F1_nD4,afdb,155,True,0.968,"PF12854,PF13812,PF20431",afdb,3824336,
109.4.1.2687,PF28645,5,0,5,3298818,A0A0R0GPX6_F1_nD1,afdb,463,True,1.0,"PF28645,PF28650",afdb,3352122,
331.19.1.3,PF11718,6,0,6,4203060,Q4WRC2_nD3,afdb,80,True,0.382,PF11718,afdb,3628208,
11.1.1.1030,PF24770,5,0,5,3538465,Q9C0B2_F1_nD4,afdb,105,True,0.33,PF24770,afdb,3876303,
310.1.1.8,PF00750,2,0,2,4945526,A0A9Y1BNH8_F1_nD1,afdb,0,True,0.244,PF00750,afdb,4947328,
10.32.1.214,PF19052,21,0,21,4125065,Q499E0_nD4,afdb,205,True,0.458,PF19052,afdb,3856318,
101.1.17.20,PF14309,7,0,7,3298931,A0A0R0EKA2_F1_nD1,afdb,140,True,0.801,PF14309,afdb,3651946,
223.1.1.157,PF17202,7,0,7,4078369,P39209_nD1,afdb,200,True,0.953,PF17202,afdb,5015761,
11.1.5.106,PF15043,2,0,2,3904068,Q6DBX3_F1_nD1,afdb,155,True,0.975,PF15043,afdb,3911664,
7568.1.1.20,PF29099,5,0,5,3621796,A0A044V635_F1_nD1,afdb,110,True,1.0,PF29099,afdb,3796276,
389.1.1.141,"PF07645,PF09064,PF12662",2,0,2,3552593,P07204_F1_nD7,afdb,75,True,1.0,"PF07645,PF09064",afdb,4156585,
3826.1.1.26,PF06102,14,0,14,4111425,A1CMA3_nD2,afdb,140,True,0.818,PF06102,afdb,4459302,
3559.1.1.32,PF05615,2,0,2,3431323,Q0J7V5_F1_nD1,afdb,140,True,0.97,PF05615,afdb,3688560,
70.4.1.9,PF09956,3,0,3,3981037,Q8ZQ93_F1_nD2,afdb,55,True,0.544,PF09956,uniparc,5083172,
604.5.1.45,PF04791,2,0,2,3654726,A0A1D6QE58_F1_nD1,afdb,220,True,0.376,PF04791,afdb,3915171,
2002.1.1.359,PF30390,2,0,2,4007478,Q46811_F1_nD1,afdb,425,True,0.995,PF30390,afdb,4107063,
3755.1.1.8,PF02050,5,0,5,3387160,Q0P8C0_F1_nD1,afdb,140,True,0.993,PF02050,afdb,3970271,
109.4.1.2155,"PF13181,PF24762",2,0,2,3227547,Q22830_F1_nD4,afdb,720,True,0.305,PF24762,afdb,4003044,
205.1.1.78,"PF00037,PF12798,PF12838,PF13247",3,0,3,4008681,P0AAK7_F1_nD1,afdb,188,True,0.99,"PF12838,PF13247",afdb,4091434,
3529.1.1.6,PF01145,92,0,92,3257755,Q86IY7_F1_nD1,afdb,70,True,0.39,PF01145,afdb,3247900,
1075.1.2.13,PF01595,8,0,8,5039640,A0A2P6VX44_F1_nD1,afdb,0,True,0.829,PF01595,afdb,3590532,
708.1.1.16,PF23674,41,0,41,3575170,A0A3P7FBT5_F1_nD2,afdb,85,True,1.0,PF23674,afdb,3618804,
192.5.1.17,PF02656,2,0,2,3615607,Q57UM0_F1_nD1,afdb,110,True,0.971,PF02656,afdb,3185197,
4.1.1.316,PF23112,10,0,10,3813454,Q8GWB1_F1_nD3,afdb,60,True,1.0,PF23112,afdb,3441319,
1134.1.2.3,PF09340,3,0,3,3250416,Q54NG3_F1_nD1,afdb,80,True,0.974,PF09340,afdb,3198424,
60.1.1.13,PF12480,3,0,3,3562080,Q5VWN6_F1_nD1,afdb,140,True,0.901,PF12480,afdb,3869530,
601.16.1.17,PF27561,2,0,2,3760737,Q62784_F1_nD3,afdb,140,True,0.1,PF27561,afdb,4074823,
604.5.1.41,PF04987,3,0,3,3808080,A0A1I9LQ21_F1_nD4,afdb,280,True,0.64,PF04987,afdb,3401322,
