ecod_uid,f_id,hmm_cov
3959320,541.1.1.14,0.21
3172635,543.1.1.7,0.43
3210068,545.1.1.3,0.389
3475102,558.1.1.30,0.386
3569081,558.1.1.32,0.204
3743903,558.1.1.33,0.208
3320555,573.1.1.2,0.403
4790528,589.1.2.8,0.43
3845580,59.1.1.15,0.443
3549877,59.1.1.18,0.389
3858764,59.1.1.19,0.245
4511346,59.1.2.3,0.4
3477796,59.1.3.5,0.351
3747930,6006.1.1.4,0.353
3829840,601.1.1.102,0.276
3175105,601.1.1.108,0.242
4202300,601.1.1.131,0.343
4039850,601.1.1.89,0.275
3918432,601.1.1.94,0.151
4150255,601.1.2.77,0.269
3322976,601.1.2.86,0.189
3222182,601.1.2.98,0.477
3755159,601.1.3.9,0.257
3760737,601.16.1.17,0.1
3482265,601.19.1.36,0.362
3849174,601.19.1.37,0.15
3172946,601.19.1.40,0.374
3171480,601.30.1.3,0.234
4134938,601.3.1.14,0.375
4357096,601.3.1.6,0.3
3925618,601.33.1.11,0.358
4260974,601.4.1.53,0.267
3381343,601.4.1.55,0.325
3220650,601.4.1.63,0.257
4324616,601.7.1.47,0.434
3663302,6026.1.1.15,0.39
4130511,6026.1.1.19,0.333
4439048,603.1.1.107,0.435
3666120,603.1.1.119,0.331
4449328,603.1.1.122,0.066
3632483,603.1.1.125,0.34
4493657,603.1.1.128,0.35
3412589,603.1.1.136,0.456
3201043,604.1.1.132,0.22
3318773,604.1.1.133,0.491
3757260,604.1.1.138,0.171
3441717,604.1.1.146,0.355
3194274,604.1.1.147,0.273
4565893,604.1.1.150,0.293
3547408,604.1.1.153,0.407
3774484,604.1.1.167,0.477
3778883,604.1.1.168,0.396
4276261,604.12.1.67,0.218
3683415,604.12.1.68,0.381
3990985,604.12.1.69,0.251
3869130,604.12.1.72,0.383
4550256,604.12.1.76,0.4
4054419,604.12.1.78,0.235
4627741,604.30.1.3,0.329
3383266,604.3.1.14,0.304
4319171,604.39.1.30,0.442
3966859,604.5.1.33,0.27
3453777,604.5.1.37,0.393
4282412,604.5.1.38,0.469
3654726,604.5.1.45,0.376
3799681,604.5.1.47,0.05
3444056,604.6.1.24,0.353
3465857,604.6.1.27,0.337
3793986,604.7.1.7,0.187
4283454,604.8.1.2,0.37
4214713,604.9.1.13,0.294
3727631,605.1.1.133,0.405
3203010,605.1.1.139,0.257
4220045,605.1.1.147,0.223
3800499,605.1.1.149,0.431
4477636,605.1.1.164,0.37
3944665,605.1.1.168,0.223
3932308,605.1.1.169,0.327
4026291,605.1.1.172,0.433
3649279,605.1.1.173,0.354
4087258,605.1.1.175,0.285
4378832,605.1.1.176,0.122
3749862,605.1.1.178,0.267
4186985,605.1.1.191,0.354
4941915,605.1.1.209,0.498
4943592,605.1.1.353,0.414
5076372,605.1.1.360,0.442
3376793,6055.1.1.13,0.326
3336091,605.6.1.9,0.163
3538459,6063.1.1.4,0.347
4923850,610.2.1.3,0.36
4947968,6105.1.1.3,0.26
3393031,6106.1.1.3,0.422
4917178,6.1.1.35,0.399
3524661,6124.1.1.3,0.245
3994582,614.1.1.13,0.374
4291241,614.1.1.17,0.204
3547217,6158.1.1.16,0.495
3921909,6159.1.1.4,0.296
3327771,6159.1.1.5,0.034
3446471,6160.1.1.4,0.479
4891248,6165.1.1.3,0.469
3468992,6169.1.1.30,0.49
3527517,6169.1.1.31,0.466
3563576,6169.1.1.33,0.341
3363802,622.4.1.29,0.439
3366463,622.4.1.36,0.349
3916135,627.1.1.4,0.373
4281572,630.1.1.3,0.408
4465966,632.11.1.10,0.232
3773844,632.11.1.9,0.196
4135522,632.15.1.4,0.174
3651735,632.15.1.8,0.096
3237369,632.2.1.28,0.366
5012954,632.2.1.40,0.312
4355358,632.22.1.101,0.49
3718860,632.22.1.106,0.216
3903097,632.22.1.63,0.432
4576424,632.22.1.72,0.477
3768508,632.22.1.95,0.321
4008918,632.3.1.13,0.274
3764524,632.6.1.7,0.252
3829226,632.7.1.30,0.333
3314803,632.7.1.37,0.213
3455917,632.7.1.38,0.096
4987927,632.7.1.65,0.184
4681963,633.10.1.16,0.269
3176244,633.15.1.3,0.32
3961709,633.16.1.7,0.277
3989304,633.16.1.9,0.373
3638161,633.21.1.28,0.32
4100095,633.23.1.37,0.487
4628521,633.24.1.6,0.304
3766090,633.7.1.5,0.221
4369617,633.8.1.3,0.235
3516371,64.3.1.4,0.18
4680886,69.1.1.14,0.435
4937985,7014.1.1.3,0.325
3167295,7025.1.1.5,0.06
3986892,70.4.1.8,0.384
4000494,7061.1.1.4,0.228
3330254,7064.1.1.5,0.34
3176010,708.1.1.23,0.133
4230648,708.1.1.24,0.277
3208411,708.1.2.10,0.476
3925612,7084.1.1.1,0.42
4124402,7503.1.1.17,0.417
4055561,7503.1.1.19,0.41
3820143,7512.1.1.89,0.421
4805483,7512.1.1.91,0.228
4889655,7516.1.1.112,0.244
3690632,7516.1.1.127,0.406
4296280,7523.1.1.58,0.28
5026380,7543.1.1.3,0.19
3712209,7575.1.1.13,0.305
3038791,7579.1.1.124,0.458
4896631,7579.1.1.171,0.458
3010513,7579.1.1.195,0.397
4887679,7579.1.1.196,0.453
2841927,7590.1.1.12,0.41
4671708,79.1.1.28,0.231
3804984,809.1.1.5,0.216
4969409,821.1.1.14,0.366
3170858,822.2.1.2,0.423
4033673,829.1.1.2,0.426
3979007,829.1.1.3,0.399
3976508,876.1.1.7,0.365
3283779,876.1.1.9,0.396
4018223,883.1.1.23,0.227
5064060,896.1.1.4,0.278
4633783,904.1.1.25,0.229
3519708,904.1.1.29,0.43
3434709,904.1.1.31,0.494
3583552,922.1.1.20,0.478
3548065,922.1.1.28,0.497
3171994,931.1.1.12,0.165
