domain_id,source_id,length,range,source_type,f_group_id,f_name,estimated_fingers,is_discontinuous
nD1,Q9UW14_F1,105,196-300,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD1,Q9U239_F1,105,11-115,computed structural model,386.1.1.18,zf-C2H2_jaz,3.8,False
nD4,A0A044S8B3_F1,105,756-860,computed structural model,,,3.8,False
nD1,Q9UTM7_F1,105,1-105,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD2,U3JA50_F1,105,81-185,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD7,D3ZF41_F1,105,816-920,computed structural model,386.1.1.20,zf-met,3.8,False
nD1,Q5A954_F1,105,111-215,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD1,Q59VF4_F1,105,16-120,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD2,Q9UPQ7_F1,105,131-235,computed structural model,,,3.8,False
nD11,Q6PG37_F1,105,476-580,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD3,U7PU86_F1,105,481-585,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD1,X1WG62_F1,105,1-105,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD1,O18065_F1,105,426-530,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD1,A0A3P7ETS2_F1,105,351-455,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD1,Q94BV2_F1,105,11-115,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD2,A0A175W6C8_F1,105,536-640,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD1,G4VJB8_F1,105,1-105,computed structural model,386.1.1.18,zf-C2H2_jaz,3.8,False
nD1,Q6ES10_F1,105,26-130,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD1,Q12341_F1,105,6-110,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD3,A0A0K0DTN3_F1,105,"136-215,461-485",computed structural model,386.1.1.50,Nairovirus_Gn,3.8,True
e5gm6I1,5gm6,105,I:1-105,experimental structure,386.1.1.20,zf-met,3.8,False
nD3,M0R415_F1,105,286-390,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD1,G5EEW2_F1,105,201-305,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD2,A0A0D2GIM7_F1,104,97-200,computed structural model,386.1.1.18,zf-C2H2_jaz,3.7,False
nD2,A0A5S6PE60_F1,104,182-285,computed structural model,386.1.1.50,Nairovirus_Gn,3.7,False
nD1,Q86J12_F1,103,"12-35,77-155",computed structural model,386.1.1.16,Hat1_N,3.7,True
nD3,F1QBY0_F1,103,203-305,computed structural model,386.1.1.50,Nairovirus_Gn,3.7,False
nD2,F6NW08_F1,103,61-163,computed structural model,386.1.1.20,zf-met,3.7,False
nD2,B2MZC6_F1,103,446-548,computed structural model,386.1.1.50,Nairovirus_Gn,3.7,False
nD1,E9QE82_F1,103,6-108,computed structural model,386.1.1.50,Nairovirus_Gn,3.7,False
nD2,A0A5S6PE77_F1,102,172-273,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A4HXN3_F1,101,13-113,computed structural model,,,3.6,False
nD1,Q6S9Z5_F1,100,91-190,computed structural model,,,3.6,False
nD1,O18068_F1,100,241-340,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A0A5K4FBJ5_F1,100,26-125,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD3,Q69Z99_F1,100,236-335,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD2,Q9CZP3_F1,100,231-330,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD1,O00488_F1,100,16-115,computed structural model,386.1.1.18,zf-C2H2_jaz,3.6,False
nD3,Q9N5V6_F1,100,216-315,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A0A0K0DZT7_F1,100,11-110,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,U7PWL5_F1,100,556-655,computed structural model,386.1.1.34,zf-MYST,3.6,False
nD6,A4HVE9_F1,100,"486-515,656-725",computed structural model,386.1.1.48,zf_C2HC_14,3.6,True
nD4,C0NJK4_F1,100,626-725,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD3,Q8N883_F1,100,266-365,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD2,A0A044U1Q6_F1,100,"106-115,141-230",computed structural model,386.1.1.50,Nairovirus_Gn,3.6,True
nD5,A0A044T2P2_F1,100,391-490,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD9,A0A0K0EP86_F1,100,1336-1435,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A0A0D2F4Z6_F1,100,16-115,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD3,Q9UJQ4_F1,100,"406-435,546-615",computed structural model,386.1.1.50,Nairovirus_Gn,3.6,True
nD3,Q07351_F1,100,391-490,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD7,A0A0R4IXX9_F1,100,286-385,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD10,G5EEY5_F1,100,1521-1620,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,G5EBR0_F1,100,181-280,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,A0A0N4UC02_F1,100,66-165,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD1,F1LUK0_F1,100,"16-40,196-270",computed structural model,386.1.1.50,Nairovirus_Gn,3.6,True
nD1,Q19418_F1,100,61-160,computed structural model,386.1.1.6,ARS2,3.6,False
nD1,Q9ULX6_F1,100,"371-450,521-540",computed structural model,386.1.1.18,zf-C2H2_jaz,3.6,True
nD7,Q0E8J0_F1,100,951-1050,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD6,Q4DFD0_F1,100,381-480,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,B3LFC1_F1,100,"16-100,336-350",computed structural model,386.1.1.1,zf-C2H2,3.6,True
nD2,A0A044UB88_F1,100,311-410,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A0A175WH53_F1,100,431-530,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,A0A0K0EQK6_F1,100,196-295,computed structural model,,,3.6,False
nD2,P0CI00_F1,100,121-220,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD4,Q09534_F1,100,321-420,computed structural model,,,3.6,False
nD4,J9FHS5_F1,100,376-475,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD2,A0A5S6PPC4_F1,100,41-140,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,Q0VDT2_F1,100,156-255,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,Q9ERU2_F1,100,106-205,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,A0A5S6PDJ4_F1,100,181-280,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD6,A0A5S6PRG8_F1,100,751-850,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD8,A9QY27_F1,100,986-1085,computed structural model,386.1.1.20,zf-met,3.6,False
nD5,A0A0H5S1U5_F1,100,391-490,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD2,Q49AA0_F1,100,251-350,computed structural model,386.1.1.50,Nairovirus_Gn,3.6,False
nD1,A0A077Z0W4_F1,100,6-105,computed structural model,386.1.1.6,ARS2,3.6,False
nD2,A0A0R4IRQ1_F1,100,151-250,computed structural model,386.1.1.6,ARS2,3.6,False
nD1,Q869X7_F1,100,"11-30,56-135",computed structural model,386.1.1.16,Hat1_N,3.6,True
nD2,A0A0D2G9C0_F1,100,451-550,computed structural model,386.1.1.20,zf-met,3.6,False
nD1,A0A1D6G577_F1,100,41-140,computed structural model,,,3.6,False
nD2,E9QDP6_F1,100,136-235,computed structural model,386.1.1.20,zf-met,3.6,False
nD1,A0A1B0GTH9_F1,100,6-105,computed structural model,,,3.6,False
nD3,A0A077YXN2_F1,100,371-470,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,Q9UDV6_F1,100,"41-115,316-340",computed structural model,386.1.1.1,zf-C2H2,3.6,True
nD1,A0A0K0EBM4_F1,100,96-195,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD4,A0A5K4EMU6_F1,100,671-770,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD2,Q4D2B8_F1,100,91-190,computed structural model,386.1.1.1,zf-C2H2,3.6,False
nD1,A0A5S6PE87_F1,99,141-239,computed structural model,386.1.1.1,zf-C2H2,3.5,False
nD1,Q9DB42_F1,99,17-115,computed structural model,386.1.1.18,zf-C2H2_jaz,3.5,False
nD2,K7MYM4_F1,99,117-215,computed structural model,386.1.1.62,,3.5,False
nD1,A0A044T8M2_F1,99,267-365,computed structural model,386.1.1.1,zf-C2H2,3.5,False
nD1,Q586L9_F1,99,"201-235,496-559",computed structural model,386.1.1.1,zf-C2H2,3.5,True
nD7,A0A0N4UA95_F1,99,812-910,computed structural model,386.1.1.1,zf-C2H2,3.5,False
nD1,A0A0K0DXI3_F1,98,16-113,computed structural model,386.1.1.50,Nairovirus_Gn,3.5,False
nD1,B2GV37_F1,98,16-113,computed structural model,386.1.1.18,zf-C2H2_jaz,3.5,False
nD1,A0A5S6PCU9_F1,98,133-230,computed structural model,386.1.1.6,ARS2,3.5,False
nD3,F1QA26_F1,98,1433-1530,computed structural model,386.1.1.1,zf-C2H2,3.5,False
nD1,I1MKC3_F1,98,13-110,computed structural model,386.1.1.20,zf-met,3.5,False
nD1,A0A5K4F262_F1,97,1082-1178,computed structural model,386.1.1.1,zf-C2H2,3.5,False
e6ylyI1,6yly,96,I:1-96,experimental structure,386.1.1.18,zf-C2H2_jaz,3.4,False
nD10,A0A158Q3G1_F1,95,1501-1595,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A0G2JYF2_F1,95,91-185,computed structural model,,,3.4,False
nD2,Q54I13_F1,95,71-165,computed structural model,386.1.1.10,MAT1,3.4,False
nD1,U7Q6J9_F1,95,1-95,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD2,D3ZI20_F1,95,186-280,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,C1GWG7_F1,95,106-200,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD3,Q384I6_F1,95,326-420,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A175W3W1_F1,95,1-95,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD2,A0A044QLU8_F1,95,196-290,computed structural model,386.1.1.6,ARS2,3.4,False
nD2,A0A3P7DPN3_F1,95,171-265,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD3,G4VAX3_F1,95,261-355,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD12,Q7JM44_F1,95,1771-1865,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD5,A0A0N4UR84_F1,95,636-730,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A3Q0KRG8_F1,95,1-95,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A0P0VJN3_F1,95,41-135,computed structural model,386.1.1.4,zf-BED,3.4,False
nD2,A0A087WRH0_F1,95,161-255,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD8,A2A7B5_F1,95,1381-1475,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD6,A0A1P8B7F5_F1,95,526-620,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,C0NDA9_F1,95,1-95,computed structural model,386.1.1.16,Hat1_N,3.4,False
nD10,Q9VC36_F1,95,1406-1500,computed structural model,,,3.4,False
nD3,A0A0R4IYX6_F1,95,691-785,computed structural model,386.1.1.24,zf-C2H2_4,3.4,False
nD2,A0A3P7EP61_F1,95,176-270,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD3,Q03573_F1,95,316-410,computed structural model,386.1.1.51,CEP104_ZnF,3.4,False
nD9,K7DYM7_F1,95,331-425,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD2,A0A1U7F3P2_F1,95,216-310,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD4,C0NL10_F1,95,"386-415,496-560",computed structural model,386.1.1.1,zf-C2H2,3.4,True
nD7,Q9Y2Q1_F1,95,456-550,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,Q9JKY2_F1,95,206-300,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A0P0WZW8_F1,95,41-135,computed structural model,386.1.1.4,zf-BED,3.4,False
nD9,A0A044V925_F1,95,801-895,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A3P7Q6L2_F1,95,36-130,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A0D2HMS2_F1,95,141-235,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,F1LY33_F1,95,56-150,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD11,Q9VHA9_F1,95,501-595,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A1D6EAZ0_F1,95,26-120,computed structural model,386.1.1.4,zf-BED,3.4,False
nD1,Q9NAG7_F1,95,241-335,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD4,Q642B2_F1,95,96-190,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD5,Q8ND82_F1,95,"301-310,411-495",computed structural model,386.1.1.1,zf-C2H2,3.4,True
nD2,A0A0R0GC97_F1,95,266-360,computed structural model,386.1.1.20,zf-met,3.4,False
nD9,A0A044V152_F1,95,1191-1285,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A0N4UCA4_F1,95,36-130,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,Q9P370_F1,95,16-110,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD1,A0A1C1CSU3_F1,95,141-235,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A0K0DX87_F1,95,86-180,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A175VZQ3_F1,95,96-190,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD4,A0A0D2GXS8_F1,95,146-240,computed structural model,386.1.1.20,zf-met,3.4,False
nD2,A0A044RGS1_F1,95,161-255,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD7,Q9VZ63_F1,95,526-620,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,C0NJE0_F1,95,131-225,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD9,A0A077ZD10_F1,95,1401-1495,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,Q4DSV4_F1,95,"131-195,256-285",computed structural model,386.1.1.34,zf-MYST,3.4,True
nD1,Q9W3Y0_F1,95,21-115,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD1,Q6NPE4_F1,95,21-115,computed structural model,386.1.1.20,zf-met,3.4,False
nD5,A0A0G2JYF2_F1,95,351-445,computed structural model,,,3.4,False
nD1,C0NH62_F1,95,6-100,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD3,Q54RC5_F1,95,186-280,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,A0A0B4KEI4_F1,95,296-390,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD4,A0A0R4IYX6_F1,95,786-880,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,Q6V5K9_F1,95,91-185,computed structural model,,,3.4,False
nD3,Q9N5H8_F1,95,286-380,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,Q8CIV7_F1,95,146-240,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,A0A1D6H8E1_F1,95,156-250,computed structural model,386.1.1.4,zf-BED,3.4,False
nD2,A0A1U7F3N4_F1,95,246-340,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD3,Q559R2_F1,95,351-445,computed structural model,386.1.1.9,zf-U1,3.4,False
nD1,F1QAC4_F1,95,301-395,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A0R4IRQ1_F1,95,6-100,computed structural model,386.1.1.6,ARS2,3.4,False
nD2,Q8I3Y3_F1,95,71-165,computed structural model,386.1.1.10,MAT1,3.4,False
nD1,I1LYW1_F1,95,31-125,computed structural model,386.1.1.111,,3.4,False
nD11,Q8TF32_F1,95,481-575,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD2,I1MNH4_F1,95,101-195,computed structural model,386.1.1.119,,3.4,False
nD1,A0A3P7FJ48_F1,95,61-155,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,A0A077Z7G4_F1,95,161-255,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,Q5VRR3_F1,95,126-220,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,A0A3P7DRV7_F1,95,36-130,computed structural model,386.1.1.13,"Sgf11,Sgf11_N",3.4,False
nD1,Q09FC8_F1,95,251-345,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,I3IS56_F1,95,111-205,computed structural model,386.1.1.9,zf-U1,3.4,False
nD3,O88282_F1,95,311-405,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD12,A0A0K0EFU7_F1,95,756-850,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD1,A0A0D2HGN5_F1,95,286-380,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,O01709_F1,95,51-145,computed structural model,386.1.1.50,Nairovirus_Gn,3.4,False
nD5,Q68FE8_F1,95,"311-320,426-510",computed structural model,386.1.1.50,Nairovirus_Gn,3.4,True
e4fipD1,4fip,95,D:1-95,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
e2wbtA1,2wbt,95,A:5-99,experimental structure,,,3.4,False
nD1,E7FCM9_F1,95,21-115,computed structural model,386.1.1.18,zf-C2H2_jaz,3.4,False
nD1,Q6P0T3_F1,95,11-105,computed structural model,386.1.1.24,zf-C2H2_4,3.4,False
nD3,A0A3Q0KRH7_F1,95,346-440,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD1,Q0VGT2_F1,95,416-510,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD6,A0A158Q436_F1,95,711-805,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD3,A0A2K6VWJ0_F1,95,216-310,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,A0A5K4FFL7_F1,95,66-160,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD3,A0A5K4F347_F1,95,1231-1325,computed structural model,386.1.1.59,Zap1_zf1,3.4,False
e4wa6E1,4wa6,94,E:2-95,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
nD1,A0A0D2GBM8_F1,94,432-525,computed structural model,386.1.1.1,zf-C2H2,3.4,False
e4zuxn1,4zux,94,n:5-98,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
e4w4uE1,4w4u,94,E:2-95,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
nD4,A0A1D6JZC0_F1,94,392-485,computed structural model,386.1.1.1,zf-C2H2,3.4,False
nD2,A0A5S6PCR9_F1,94,181-274,computed structural model,386.1.1.6,ARS2,3.4,False
nD3,A0A044SRV0_F1,94,"802-885,936-945",computed structural model,386.1.1.1,zf-C2H2,3.4,True
e4zuxd1,4zux,94,d:5-98,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
e4zuxi1,4zux,94,i:5-98,experimental structure,386.1.1.46,zf_C2H2_13,3.4,False
nD2,Q6H7M9_F1,93,106-198,computed structural model,386.1.1.50,Nairovirus_Gn,3.3,False
nD2,A0A044SRV0_F1,93,243-335,computed structural model,386.1.1.1,zf-C2H2,3.3,False
e3mhhC1,3mhh,93,C:3-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.3,False
nD1,B8JKD2_F1,93,28-120,computed structural model,386.1.1.50,Nairovirus_Gn,3.3,False
e6ff771,6ff7,93,7:1-93,experimental structure,386.1.1.20,zf-met,3.3,False
nD2,A0A3Q0KH43_F1,93,696-788,computed structural model,386.1.1.1,zf-C2H2,3.3,False
nD1,Q7ZZ00_F1,93,97-189,computed structural model,386.1.1.1,zf-C2H2,3.3,False
e4wa6H1,4wa6,93,H:4-96,experimental structure,386.1.1.46,zf_C2H2_13,3.3,False
e4zuxl1,4zux,93,l:3-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.3,False
nD4,Q4CYK8_F1,93,293-385,computed structural model,386.1.1.1,zf-C2H2,3.3,False
e3mhsC1,3mhs,93,C:3-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.3,False
e4w4uH1,4w4u,93,H:4-96,experimental structure,386.1.1.46,zf_C2H2_13,3.3,False
nD4,Q4D2B8_F1,93,293-385,computed structural model,386.1.1.1,zf-C2H2,3.3,False
e6ff471,6ff4,93,7:1-93,experimental structure,386.1.1.20,zf-met,3.3,False
nD1,A0A044T2P2_F1,93,151-243,computed structural model,386.1.1.1,zf-C2H2,3.3,False
e3mhhE1,3mhh,92,E:5-96,experimental structure,386.1.1.46,zf_C2H2_13,3.3,False
nD1,B9FJT0_F1,92,"207-253,281-325",computed structural model,386.1.1.50,Nairovirus_Gn,3.3,True
e6aqrE1,6aqr,92,E:4-95,experimental structure,386.1.1.46,zf_C2H2_13,3.3,False
e3m99D1,3m99,92,D:7-98,experimental structure,386.1.1.46,zf_C2H2_13,3.3,False
e4fk5C1,4fk5,92,C:4-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.3,False
nD1,Q381C5_F1,91,"88-140,166-203",computed structural model,386.1.1.50,Nairovirus_Gn,3.2,True
e4fipH2,4fip,91,H:6-96,experimental structure,386.1.1.46,zf_C2H2_13,3.2,False
e3mhsE1,3mhs,91,E:5-95,experimental structure,386.1.1.46,zf_C2H2_13,3.2,False
nD2,Q00947_F1,90,186-275,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,P53165_F1,90,6-95,computed structural model,386.1.1.46,zf_C2H2_13,3.2,False
nD2,A0A0G2JU08_F1,90,"546-600,626-660",computed structural model,386.1.1.1,zf-C2H2,3.2,True
nD11,V6CLN5_F1,90,666-755,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,Q61602_F1,90,481-570,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD1,A0A3P7FSM1_F1,90,31-120,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD5,Q9VXG1_F1,90,576-665,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD4,F6NSX9_F1,90,916-1005,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD6,X1WCK9_F1,90,236-325,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD3,I1JQV7_F1,90,196-285,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD2,Q5AD13_F1,90,371-460,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD2,A0A175WAB4_F1,90,91-180,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD2,A0A044SF40_F1,90,191-280,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD3,D3ZJG8_F1,90,706-795,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD2,D3ZED3_F1,90,66-155,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD2,G4VBK7_F1,90,306-395,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD2,A0A0K0ET92_F1,90,271-360,computed structural model,,,3.2,False
nD3,A0A0G2JZQ5_F1,90,801-890,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,A0A0N4U8X8_F1,90,41-130,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
e6t9lM1,6t9l,90,M:6-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD2,Q9VUU3_F1,90,171-260,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,Q9VVR6_F1,90,41-130,computed structural model,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD1,A0A0G2L3M9_F1,90,56-145,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD3,D3ZIF0_F1,90,226-315,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD3,Q9HCE3_F1,90,751-840,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD3,A0A7I4KLJ6_F1,90,476-565,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
e4zuxg1,4zux,90,g:6-95,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD1,A0A5S6PEJ4_F1,90,6-95,computed structural model,386.1.1.6,ARS2,3.2,False
nD2,M0R415_F1,90,196-285,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,J9BHH4_F1,90,6-95,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD1,F1QCH3_F1,90,296-385,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD6,A2A7B5_F1,90,1151-1240,computed structural model,386.1.1.18,zf-C2H2_jaz,3.2,False
nD2,Q9Y5A6_F1,90,266-355,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD2,A0A3Q0KFP1_F1,90,771-860,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,D4A5H7_F1,90,16-105,computed structural model,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD1,O88291_F1,90,"306-375,446-465",computed structural model,386.1.1.18,zf-C2H2_jaz,3.2,True
nD2,A2BFS7_F1,90,121-210,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,A8KBW9_F1,90,66-155,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD5,Q70ZY9_F1,90,581-670,computed structural model,386.1.1.1,zf-C2H2,3.2,False
e4wa6C1,4wa6,90,C:5-94,experimental structure,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD5,Q9GYG1_F1,90,296-385,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD3,Q6PGD2_F1,90,151-240,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,A0A3P7FQU1_F1,90,56-145,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD6,Q8IYX0_F1,90,321-410,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD11,F1QC22_F1,90,341-430,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD5,A0A5S6PS37_F1,90,701-790,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,A0A0K0EIB1_F1,90,186-275,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD2,A0A0D2F494_F1,90,561-650,computed structural model,386.1.1.50,Nairovirus_Gn,3.2,False
nD7,A0A5S6PEG0_F1,90,311-400,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,A0A1C1CWY7_F1,90,6-95,computed structural model,386.1.1.18,zf-C2H2_jaz,3.2,False
nD3,Q1LVK7_F1,90,696-785,computed structural model,386.1.1.20,zf-met,3.2,False
nD1,A0A0K0ELW5_F1,90,6-95,computed structural model,386.1.1.18,zf-C2H2_jaz,3.2,False
nD1,Q5FC18_F1,90,6-95,computed structural model,386.1.1.13,"Sgf11,Sgf11_N",3.2,False
nD3,A0A5K4FEV4_F1,90,296-385,computed structural model,386.1.1.1,zf-C2H2,3.2,False
nD1,O13648_F1,90,56-145,computed structural model,386.1.1.116,ANM3_C2H2_Zf,3.2,False
nD1,Q95XA7_F1,90,36-125,computed structural model,386.1.1.1,zf-C2H2,3.2,False
